program,fund_type,funding_year,funding_request_number,frn_line_number,status,filing_hcp,filing_hcp_name,filing_hcp_entity_type,filing_hcp_street,filing_hcp_city,filing_hcp_state,filing_hcp_zip_code,filing_hcp_latitude,filing_hcp_longitude,participating_hcp,participating_hcp_name,participating_hcp_entity_type,participating_hcp_street,participating_hcp_city,participating_hcp_state,participating_hcp_county,participating_hcp_zip_code,participating_hcp_latitude,participating_hcp_longitude,category_of_expense,service_type,download_speed,upload_speed,number_of_bidders,frequency_of_expense,multi_year_funding,funding_start_date,funding_end_date,funding_commitment_date,funding_submission_date,service_provider_id,service_provider_name,filing_window,original_requested_amount,original_committed_amount,total_commited_amount,total_authorized_disbursement_amount,service_level_agreement,invoice_deadline_date,filing_hcp_county,bandwidth,monthly_urban_rate,monthly_rural_rate,packet_loss,reliability,jitter,latency,eligible_service,eligible_site,quantity_of_item_invoiced,prorata_factor
Healthcare Connect Fund,Individual,2013,13433211,1,Committed,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,98837-1820,47.149471,-119.280576,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,Grant,98837-1820,47.149471,-119.280576,Leased/Tariffed Facilities or Services,Internet,100.0MB,100.0MB,0,Month,No,2014-02-08T00:00:00.000,2014-06-30T00:00:00.000,2014-05-20T00:00:00.000,2014-05-06T00:00:00.000,143001157,"CenturyLink Qwest Communications Company, LLC",,11310,8953.75,8953.75,9425,No,2014-12-31T23:59:59.000,Grant,0,0,0,,,,,,1,1,
Healthcare Connect Fund,Individual,2013,13384601,1,Denied,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,37185,36.0757222,-87.7923663,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,Humphreys,37185,36.0757222,-87.7923663,Leased/Tariffed Facilities or Services,Internet,10,10,0,Month,Yes,,,,2014-02-16T00:00:00.000,143001192,AT&T Corp.,,13433.58,0,0,0,No,,Humphreys,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2023,RHC20230014363,1,Processed,25815,Metroplex Adventist Hospital - Rollins Brook Community Hospital,Not-For-Profit Hospital,608 North Key Avenue,Lampasas,TX,76550,31.0724144,-98.1863597,25815,Metroplex Adventist Hospital - Rollins Brook Community Hospital,Not-For-Profit Hospital,608 North Key Avenue,Lampasas,TX,Lampasas,76550,31.0724144,-98.1863597,Data,MPLS,20 Mbps,20 Mbps,,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-07-06T00:00:00.000,2022-12-01T00:00:00.000,143001192,AT&T Corp.,FY 2023 Filing Window 1,1350.73,1350.73,1350.73,,No,2025-02-25T00:00:00.000,Lampasas,,,,,,,,,,,
Healthcare Connect Fund,Individual,2016,16925611,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Ethernet,20.0MB,20.0MB,0,Month,No,2016-07-01T00:00:00.000,2017-06-30T00:00:00.000,2017-04-13T00:00:00.000,2016-10-18T00:00:00.000,143048275,Time Warner Cable Business LLC,2016_02,5872.05,5872.05,5872.05,5872.05,No,2017-12-31T23:59:59.000,Fulton,20.0MB,0,0,,,,,1,,,.9252804
Healthcare Connect Fund,Individual,2016,16925591,1,Committed,32618,Fulton County Health Center Rehab,Rural Health Clinic,719 S Shoop Ave,Wauseon,OH,43567,41.5491698,-84.1401444,32618,Fulton County Health Center Rehab,Rural Health Clinic,719 S Shoop Ave,Wauseon,OH,Fulton,43567,41.5491698,-84.1401444,Leased/Tariffed Facilities or Services,Ethernet,10.0MB,10.0MB,0,Month,No,2016-07-01T00:00:00.000,2017-06-30T00:00:00.000,2017-04-13T00:00:00.000,2016-10-18T00:00:00.000,143048275,Time Warner Cable Business LLC,2016_02,4889.64,4889.64,4889.64,4889.64,No,2017-12-31T23:59:59.000,Fulton,10.0MB,0,0,,,,,1,,,.9252804
Healthcare Connect Fund,Individual,2013,13386291,2,Committed,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,37185,36.0757222,-87.7923663,31193,Three Rivers Hospital,Not-For-Profit Hospital,451 Highway 13 S,Waverly,TN,Humphreys,37185,36.0757222,-87.7923663,Leased/Tariffed Facilities or Services,ISDN PRI,1.5,1.5,0,Month,Yes,2014-01-08T00:00:00.000,2015-04-26T00:00:00.000,2014-11-25T00:00:00.000,2014-02-16T00:00:00.000,143004824,"BellSouth Telecommunications, LLC",,7197.45,7197.45,7197.45,7197.45,No,2015-10-26T23:59:59.000,Humphreys,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2013,13405241,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Internet,10.0,10.0,0,Month,No,2014-01-18T00:00:00.000,2014-06-30T00:00:00.000,2014-05-06T00:00:00.000,2014-04-14T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,2950.66,2680.98,2680.98,2680.98,No,2014-12-31T23:59:59.000,Fulton,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230022038,57,Submitted,93066,Commonspirit Health,Consortium Of The Above,11045 E Lansing Cir,Englewood,CO,80112,39.548535,-104.862382,61061,Tacoma Financial Center - 11Th And 12Th Floor,Not Available,1145 Broadway,Tacoma,WA,Pierce,98402,47.2513222,-122.4393147,Data,Ethernet,100.00 Mbps,100.00 Mbps,0,Monthly,No,,,,2023-04-27T00:00:00.000,143003990,Comcast Business Communications,FY 2023 Filing Window 1,956.75,,,,No,,,,,,,,,,,,1,
Healthcare Connect Fund,Individual,2013,13425951,1,Denied,16478,Clay County Hospital,Not-For-Profit Hospital,83825 Hwy 9,Ashland,AL,36251,33.231683,-85.854282,16478,Clay County Hospital,Not-For-Profit Hospital,83825 Hwy 9,Ashland,AL,Clay,36251,33.231683,-85.854282,Leased/Tariffed Facilities or Services,Ethernet,0,0,,Month,No,,,,2014-05-06T00:00:00.000,143031519,"JKM Consulting, Inc.",,2535,0,0,0,No,,Clay,10.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230022098,2,Processed,106054,Froedtert Health,Consortium Of The Above,N74 W12501 Leatherwood Court,Menomonee Falls,WI,53051,43.15297,-88.06605,104970,Frdt - Froedtert Hospital,"Post-Secondary Educational Institution Offering Health Care Instruction, Teaching Hospital Or Medical School",9200 W Wisconsin Ave,Milwaukee,WI,Milwaukee,53226,43.038607,-88.027318,Data,Ethernet,10 Gbps,10 Gbps,0,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-07-13T00:00:00.000,2023-03-08T00:00:00.000,143050436,"Charter Communications Operating, LLC",FY 2023 Filing Window 1,111018.65,111018.65,111018.65,,No,2024-10-28T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13433611,5,Committed,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,98837-1820,47.149471,-119.280576,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,Grant,98837-1820,47.149471,-119.280576,Leased/Tariffed Facilities or Services,Internet,3.0MB,640 Kbps,0,Month,No,2014-02-08T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-06T00:00:00.000,143005231,CenturyLink Qwest Corporation,,265.49,265.49,265.49,265.49,No,2014-12-31T23:59:59.000,Grant,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Consortium,2015,15766641,8,Committed,35344,Indian Health Service,Consortium Of The Above,5600 Fishers Ln,Rockville,MD,20852,39.0621943,-77.1123801,12172,Ihs-Gpa Cheyenne River Health Center Eagle Butte Hospital,Rural Health Clinic,24276 166th St Airport Rd,Eagle Butte,SD,Dewey,57625,44.9923228,-101.2435495,Leased/Tariffed Facilities or Services,ISDN PRI,1.536 Mbps,1.536 Mbps,,Month,Yes,2015-10-01T00:00:00.000,2016-09-30T00:00:00.000,2016-07-13T00:00:00.000,2016-03-28T00:00:00.000,143001197,Verizon Business Global LLC,,7548.31,7674.28,7674.28,7674.28,Yes,2017-03-31T23:59:59.000,,0,0,0,0.05% or less,99.95% or greater,4ms or less,60ms or less,,1,1,
Healthcare Connect Fund,Individual,2013,13433611,1,Committed,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,98837-1820,47.149471,-119.280576,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,Grant,98837-1820,47.149471,-119.280576,Leased/Tariffed Facilities or Services,ISDN PRI,1.544MB,1.544MB,0,Month,No,2014-02-08T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-06T00:00:00.000,143005231,CenturyLink Qwest Corporation,,2207.1,2207.1,2207.1,2207.1,No,2014-12-31T23:59:59.000,Grant,0,0,0,,,,,1,1,1,
Healthcare Connect Fund,Consortium,2023,RHC20230027134,7,Submitted,52860,Banner Health,Consortium Of The Above,2901 N Central Ave,Phoenix,AZ,85012,33.4806593,-112.0728202,52793,Data Center Mesa,Not Available,436 W 10Th St,Mesa,AZ,Maricopa,85201,33.4334263,-111.8409064,Data,Ethernet,10 Gbps,10 Gbps,2,Monthly,No,,,,2023-04-25T00:00:00.000,143014467,"Cox Arizona Telcom, LLC",FY 2023 Filing Window 1,16063.09,,,,No,,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13379271,1,Committed,14758,Seasons Center For Community Mental Health - Spirit Lake,Community Mental Health Center,1401 Hill Ave,Spirit Lake,IA,51360-1333,43.426086,-95.102264,14758,Seasons Center For Community Mental Health - Spirit Lake,Community Mental Health Center,1401 Hill Ave,Spirit Lake,IA,Dickinson,51360-1333,43.426086,-95.102264,Leased/Tariffed Facilities or Services,Internet,15,2,,Month,No,2014-01-01T00:00:00.000,2014-06-30T00:00:00.000,2014-03-25T00:00:00.000,2014-02-14T00:00:00.000,143029836,"MCC Telephony, LLC",,569.01,623.92,623.92,623.92,No,2014-12-31T23:59:59.000,Dickinson,15.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220010691,1,Processed,17212,Cha Broadband Services,Consortium Of The Above,7335 E Orchard Rd,Greenwood Village,CO,80111,39.610135,-104.902395,52985,Ouray County Public Health Agency,Local Health Department Or Agency,302 2Nd St.,Ouray,CO,Ouray,81427,38.0197424,-107.6731188,Data,Internet Access,200 Mbps,200 Mbps,0,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-02-02T00:00:00.000,2022-05-05T00:00:00.000,143037219,Clear Networx LLC,FY 2022 Filing Window 1,2535,2535,2535,2535,No,2024-02-25T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2023,RHC20230027682,15,Submitted,17243,Palmetto State Providers Network,Consortium Of The Above,1880 Main Highway,Bamberg,SC,29003,33.313536,-81.034493,36424,Hope Health At Francis Marion,Community Health Center Or Health Center Providing Health Care To Migrants,121 South Evander Drive,Florence,SC,Florence,29506,34.1953909,-79.6583917,Data,Ethernet,100.00 Mbps,100.00 Mbps,,Monthly,Yes,,,,2023-04-27T00:00:00.000,143032515,"FRC, LLC",FY 2023 Filing Window 1,10456.99,,,,Yes,,Charleston,,,,<0.001,0.9999,<10 MS,<8 ms,,,1,
Healthcare Connect Fund,Consortium,2022,RHC20220009695,32,Processed,69648,Atrium Health Consortium,Consortium Of The Above,1000 Blythe Blvd,Charlotte,NC,28203,35.203089,-80.838293,68938,Chs Rehabilitation,Rural Health Clinic,919 E Caswell St,Wadesboro,NC,Anson,28170,34.966988,-80.06165,Data,MPLS,20.00 Mbps,20.00 Mbps,0,Monthly,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2023-01-26T00:00:00.000,2022-05-17T00:00:00.000,143001192,AT&T Corp.,FY 2022 Filing Window 1,3830.81,3830.81,3830.81,1915.41,No,2024-02-25T00:00:00.000,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2015,15724021,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Ethernet,20.0MB,20.0MB,0,Month,No,2015-07-01T00:00:00.000,2016-06-30T00:00:00.000,2016-01-12T00:00:00.000,2015-12-22T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,5600.4,5600.4,5600.4,5600.4,No,2016-12-31T23:59:59.000,Fulton,20.0MB,0,0,,,,,1,,,
Healthcare Connect Fund,Consortium,2023,RHC20230026130,23,Submitted,64866,Srho Hcf Consortium,Consortium Of The Above,Po Box 12161,Raleigh,NC,27605,35.790839,-78.653544,89237,Hackensack Meridian Health - Palisades Medical Center,Not-For-Profit Hospital,7600 River Rd,North Bergen,NJ,Hudson,07047,40.79366,-73.996172,Data,Dark Fiber,400.00 Gbps,400.00 Gbps,2,Monthly,No,,,,2023-04-17T00:00:00.000,143000072,Cablevision Lightpath LLC,FY 2023 Filing Window 1,62400,,,,No,,,,,,,,,,,,1,
Healthcare Connect Fund,Consortium,2023,RHC20230024420,17,Withdrawn,55569,Saratoga Hospital,Consortium Of The Above,211 Church St,Saratoga Springs,NY,12866,43.0862373,-73.7976256,55566,Saratoga Hospital,Not-For-Profit Hospital,211 Church St,Saratoga Springs,NY,Saratoga,12866,43.0862373,-73.7976256,Data,Ethernet,100 Mbps,100 Mbps,0,Monthly,No,,,,2023-05-01T00:00:00.000,143018886,"Firstlight Fiber, Inc.",FY 2023 Filing Window 1,3549,,,,No,,,,,,,,,,,,,
Healthcare Connect Fund,Individual,2013,13405231,1,Committed,32618,Fulton County Health Center Rehab,Rural Health Clinic,719 S Shoop Ave,Wauseon,OH,43567,41.5491698,-84.1401444,32618,Fulton County Health Center Rehab,Rural Health Clinic,719 S Shoop Ave,Wauseon,OH,Fulton,43567,41.5491698,-84.1401444,Leased/Tariffed Facilities or Services,Ethernet,5.0,5.0,0,Month,No,2014-03-07T00:00:00.000,2014-06-30T00:00:00.000,2014-05-06T00:00:00.000,2014-04-12T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,2448.19,1553.15,1553.15,1553.15,No,2014-12-31T23:59:59.000,Fulton,5.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2022,RHC20220008176,8,Processed,47546,Lifecore Health Group/Amory Mental Health Clinic,Community Mental Health Center,315 Main St,Amory,MS,38821,33.982296,-88.4863369,47546,Lifecore Health Group/Amory Mental Health Clinic,Community Mental Health Center,315 Main St,Amory,MS,Monroe,38821,33.982296,-88.4863369,Data,Ethernet,100.00 Mbps,100.00 Mbps,2,Monthly,Yes,2022-07-01T00:00:00.000,2025-06-30T00:00:00.000,2022-09-29T00:00:00.000,2022-03-10T00:00:00.000,143045344,"Charger Access, LLC",FY 2022 Filing Window 1,22698,22698,22698,7566,No,2025-10-28T00:00:00.000,Monroe,,,,,,,,,,,
Healthcare Connect Fund,Individual,2016,16926301,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Internet,10.0MB,10.0MB,0,Month,No,2016-07-01T00:00:00.000,2017-06-30T00:00:00.000,2017-04-13T00:00:00.000,2016-10-18T00:00:00.000,143048275,Time Warner Cable Business LLC,2016_02,5961.32,5683.97,5683.97,5683.97,No,2017-12-31T23:59:59.000,Fulton,10.0MB,0,0,,,,,1,,,.9252804
Healthcare Connect Fund,Individual,2013,13387321,2,Committed,15173,Sampson Regional Medical Center,Not-For-Profit Hospital,607 Beaman St,Clinton,NC,28328-2603,35.00845,-78.324032,15173,Sampson Regional Medical Center,Not-For-Profit Hospital,607 Beaman St,Clinton,NC,Sampson,28328-2603,35.00845,-78.324032,Leased/Tariffed Facilities or Services,T-1 / DS-1,1.5,1.5,0,Month,No,2014-02-12T00:00:00.000,2014-06-30T00:00:00.000,2014-05-20T00:00:00.000,2014-02-19T00:00:00.000,143019614,CenturyLink Corporation (FKA Embarq),,1323.4,1323.4,1323.4,1323.4,No,2014-12-31T23:59:59.000,Sampson,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Individual,2014,14565161,1,Committed,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,43521,41.6736734,-84.3282997,32619,County Health Center - Fayette Medical Center,Rural Health Clinic,124 W Main St,Fayette,OH,Fulton,43521,41.6736734,-84.3282997,Leased/Tariffed Facilities or Services,Ethernet,20.0MB,20.0MB,0,Month,No,2014-07-01T00:00:00.000,2015-06-30T00:00:00.000,2015-07-14T00:00:00.000,2015-05-14T00:00:00.000,143030626,"Time Warner Cable Information Services (Ohio), LLC",,5088.1,5088.1,5088.1,5088.1,No,2015-12-31T23:59:59.000,Fulton,20.0MB,0,0,,,,,,,,
Healthcare Connect Fund,Individual,2013,13433611,2,Committed,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,98837-1820,47.149471,-119.280576,10532,Samaritan Healthcare,Not-For-Profit Hospital,801 E Wheeler Rd,Moses Lake,WA,Grant,98837-1820,47.149471,-119.280576,Leased/Tariffed Facilities or Services,ISDN PRI,1.544MB,1.544MB,0,Month,No,2014-02-08T00:00:00.000,2014-06-30T00:00:00.000,2014-05-27T00:00:00.000,2014-05-06T00:00:00.000,143005231,CenturyLink Qwest Corporation,,2207.1,2207.1,2207.1,2207.1,No,2014-12-31T23:59:59.000,Grant,,0,0,,,,,1,1,1,
Healthcare Connect Fund,Consortium,2023,RHC20230021072,3,Processed,49628,Mercy Health,Consortium Of The Above,615 Elsinore Pl,Cincinnati,OH,45202,39.112917,-84.501294,69216,Merc- Cincinnati Data Center,Not Available,4620 Wesley Ave,Cincinnati,OH,Hamilton,45212,39.160431,-84.449909,Data,Ethernet,100 Mbps,100 Mbps,0,Monthly,No,2023-07-01T00:00:00.000,2024-06-30T00:00:00.000,2023-06-29T00:00:00.000,2023-02-28T00:00:00.000,143050436,"Charter Communications Operating, LLC",FY 2023 Filing Window 1,1621.25,1621.25,1621.25,,No,2024-10-28T00:00:00.000,All Of  Ohio,,,,,,,,,,,
Healthcare Connect Fund,Consortium,2022,RHC20220011479,42,Processed,17206,Uams E-Link Network,Consortium Of The Above,4301 W Markham St # 519,Little Rock,AR,72205,34.748339,-92.276039,47497,Arkansas State University - Mid-South,"Post-Secondary Educational Institution Offering Health Care Instruction, Teaching Hospital Or Medical School",2000 West Broadway,West Memphis,AR,Crittenden,72301,35.1475177,-90.2213519,Network Management Services,Bundled Network Management and Operation Services,1.00 Gbps,1.00 Gbps,,Annual,No,2022-07-01T00:00:00.000,2023-06-30T00:00:00.000,2022-12-15T00:00:00.000,2022-05-26T00:00:00.000,143037313,Board of Trustees/Acting for the University of Arkansas,FY 2022 Filing Window 1,19042.4,19042.4,19042.4,19042.4,No,2023-10-28T00:00:00.000,Pulaski,,,,,,,,,,,
